tick,0,1,2,3,4,5
1.6300000000000001,-24,-7,69,-19,-60,46
1.6400000000000001,-23,-9,69,-19,-60,45
1.6500000000000001,-22,-10,69,-17,-61,43
1.6600000000000001,-21,-12,69,-15,-62,43
1.67,-20,-14,69,-13,-63,41
1.68,-19,-15,69,-12,-64,39
1.69,-18,-17,69,-10,-64,38
1.7,-17,-19,69,-8,-65,36
1.71,-16,-20,69,-6,-66,34
1.72,-15,-22,69,-5,-66,33
1.73,-14,-24,69,-3,-67,31
1.74,-12,-25,68,-1,-67,29
1.75,-11,-27,68,0,-68,28
1.76,-10,-29,67,1,-68,26
1.77,-9,-31,67,3,-68,25
1.78,-7,-32,66,4,-69,22
1.79,-6,-34,66,6,-69,21
1.8,-4,-36,65,8,-69,19
1.81,-3,-38,64,10,-69,17
1.82,-1,-40,63,12,-69,14
1.83,0,-42,62,14,-69,12
1.84,1,-43,61,16,-69,11
1.85,2,-45,60,18,-69,9
1.86,4,-47,59,20,-69,6
1.87,5,-49,58,22,-69,5
1.8800000000000001,7,-51,57,24,-68,2
1.8900000000000001,9,-52,55,27,-68,0
1.9000000000000001,11,-54,53,29,-67,-1
1.9100000000000001,13,-56,51,32,-67,-4
1.92,14,-58,49,34,-66,-6
1.93,16,-59,47,37,-65,-9
1.94,18,-61,44,40,-63,-12
1.95,20,-62,42,43,-62,-15
1.96,22,-64,39,45,-60,-18
1.97,24,-65,36,48,-59,-21
1.98,25,-66,33,50,-57,-24
1.99,27,-67,31,52,-55,-26
2.0,28,-68,28,54,-53,-29
2.0100000000000002,30,-68,25,56,-51,-32
2.02,31,-69,21,59,-48,-36
2.0300000000000002,33,-69,18,60,-45,-39
2.04,34,-69,15,62,-43,-42
2.05,35,-69,12,63,-40,-44
2.06,36,-69,9,65,-37,-47
2.07,37,-69,7,66,-35,-49
2.08,38,-69,4,67,-32,-51
2.09,38,-68,1,67,-29,-53
2.1,39,-68,0,68,-27,-55
2.11,40,-67,-2,68,-24,-57
2.12,40,-66,-5,69,-22,-58
2.13,41,-66,-7,69,-20,-59
2.14,41,-65,-9,69,-18,-60
2.15,41,-64,-11,69,-16,-62
2.16,42,-63,-13,69,-13,-63
2.17,42,-62,-15,69,-12,-64
2.18,42,-61,-17,69,-10,-65
2.19,43,-60,-19,69,-8,-65
2.2,43,-59,-21,69,-6,-66
2.21,43,-58,-23,69,-4,-67
2.22,43,-56,-25,68,-2,-67
2.23,43,-55,-26,68,-1,-68
2.24,43,-54,-28,68,0,-68
2.25,43,-52,-30,67,2,-68
2.2600000000000002,43,-51,-32,67,4,-69
2.27,43,-50,-33,66,6,-69
2.2800000000000002,43,-48,-35,66,7,-69
