tick,0,1,2,3,4,5
0,20.89747167,-68.96152496,72.05256933,-6.08724228,-65.69796872,74.73600493
5,24.55664999,-72.5912216,68.250997,1.273708014,-69.57102044,71.53262676
10,28.04758437,-75.66380103,64.34385187,8.541647449,-73.24929316,67.43224501
15,31.41276609,-78.23653593,59.74341852,16.456955,-76.73979882,62.5114119
20,34.31977037,-80.08234825,55.17910251,23.51506509,-79.25612524,57.50581358
25,36.91816836,-81.33790936,50.48367376,29.88063402,-80.93809147,52.40415737
30,39.04802523,-82.03571877,46.23467877,35.32424715,-81.91375417,47.26617138
35,40.85396674,-82.30766006,42.17236668,39.88482365,-82.24314716,42.35229063
40,42.42165777,-82.18227504,38.0187302,43.9212982,-82.1962487,38.47306108
45,43.64019401,-81.7958566,34.36088869,47.09805038,-81.93302944,35.51187732
50,44.69464897,-81.11956096,30.47165825,50.24196634,-81.42192043,32.03760801
55,45.58791429,-80.28668759,27.07555153,52.69767789,-80.82722243,29.22501206
60,46.2724404,-79.37886222,23.97342332,54.83529033,-80.14140801,26.39306469
65,46.78816922,-78.35277236,20.87118864,56.92642585,-79.37231862,23.76209456
70,47.25176851,-77.10517659,17.56984439,58.96253417,-78.5851953,21.44386379
75,47.57901913,-75.91586984,14.77266527,60.58359826,-77.77907362,19.4292875
80,47.81581017,-74.5498138,11.47449168,62.63623811,-76.67032443,16.25967649
85,48.01012986,-72.94896582,7.866550667,64.77333856,-75.28997692,12.96148504
90,48.07899504,-71.62548371,5.304655363,66.07006059,-74.42344783,11.16382894
95,48.10166094,-69.96115649,1.712607474,68.17867424,-72.6519974,7.414956826
100,48.04441471,-68.43652969,-1.043259771,69.51522993,-71.58414753,5.094007513
105,47.92968325,-66.84867503,-4.077668916,71.09720432,-69.89235292,1.637257656
110,47.75512631,-65.25262118,-7.087082205,72.61793346,-68.21925712,-1.334002852
115,47.53177766,-63.57738086,-10.03808714,73.98647511,-66.51068388,-4.71619352
120,47.25414212,-61.8621723,-13.10329728,75.39059229,-64.51797732,-8.440943839
125,46.92812813,-60.0616975,-15.83329777,76.42525886,-62.9331518,-11.24987027
130,46.55153501,-58.35531183,-18.85198119,77.69679129,-60.75357832,-14.67763999
135,46.12789824,-56.51190165,-21.57307068,78.62317399,-58.87266684,-17.76371762
140,45.6602244,-54.931755,-23.62209645,79.22929606,-57.57716085,-19.67852938
145,45.14170455,-52.89319111,-26.76234627,80.18844545,-54.85487554,-23.76997491
150,44.58116236,-50.95111251,-29.46746368,80.87404083,-52.50302789,-27.45968641
155,43.99535118,-49.35182068,-31.52836646,81.32205769,-50.56697384,-29.77982245
160,43.33787873,-47.24624799,-33.9939347,81.72483369,-48.64637026,-32.28586838
165,42.64885956,-45.27699529,-36.43139855,82.03896424,-46.20027506,-35.45725255
170,41.911026,-43.189239,-38.89012456,82.22536891,-43.61620397,-38.27756047
175,41.14429082,-41.27109374,-40.75804339,82.30910045,-42.06242232,-39.99688742
180,40.30263916,-39.0183965,-43.1973868,82.21335512,-39.0099387,-43.20553407
185,39.4437883,-37.03729223,-44.88338829,82.16799322,-37.7833985,-44.14375253
190,38.57818564,-35.34650904,-46.21453168,82.03762178,-36.41578164,-45.19282355
195,37.64415607,-33.35293027,-47.83225215,81.83145257,-34.73211384,-46.70166612
200,36.63409418,-31.00739485,-49.82666167,81.47738703,-32.39291039,-48.72445088
205,35.60585943,-28.88395371,-51.39379913,81.14322016,-30.607539,-50.12830098
210,34.56391164,-26.8998082,-52.74837942,80.81489122,-29.16171877,-51.20150732
215,33.43264222,-24.57429756,-54.42837986,80.31540546,-27.20417669,-52.59589422
220,32.26989912,-22.26382662,-55.93263063,79.85745338,-25.47256476,-53.88887818
225,31.12150685,-20.17841332,-57.22323841,79.36099578,-23.90619168,-54.88585977
230,29.84012527,-17.53786543,-58.98434672,78.57594022,-21.41246413,-56.64853349
235,28.58584631,-15.13400415,-60.45473748,77.84080483,-19.62228723,-57.5773317
240,27.18694892,-12.14600758,-62.39097427,76.80626709,-16.96801535,-59.20111482
245,25.85680161,-9.719107473,-63.68575437,76.01650373,-14.85984383,-60.63450798
250,24.36519845,-6.637948752,-65.5053532,74.79942271,-11.8977573,-62.48374241
255,22.89039574,-3.856969824,-66.9802018,73.62984782,-9.238434837,-64.03241679
260,21.39130136,-0.954250944,-68.48307976,72.4075459,-7.009967366,-65.07787591
265,19.77299668,2.448912907,-70.3264906,70.62180461,-3.240798184,-67.23730787
270,18.0764523,5.842929014,-71.98547486,69.03711939,-0.147230482,-68.88573377
275,16.43346106,9.175957891,-73.56116184,67.06936121,3.694255299,-70.91425055
280,14.58977744,13.13572478,-75.40308953,64.49857399,8.473775189,-73.27327254
285,12.74609279,16.70953456,-76.80576126,62.3918946,11.86666122,-74.70805025
290,10.90205717,20.52438336,-78.24703819,59.77141843,16.35651767,-76.68183801
295,8.939631535,24.15892365,-79.37336892,57.18950257,20.50335092,-78.24058702
300,6.810985991,28.57721382,-80.65859986,53.42620296,26.12971722,-80.06042678
305,4.565472192,32.97833446,-81.57128381,49.20136384,31.7608072,-81.34573472
310,2.240842916,37.13121148,-82.10295655,45.44165019,36.31243601,-82.02865868
315,-0.207324539,41.42218517,-82.28525188,41.08720901,40.91006071,-82.31077856
320,-2.654319017,45.21320911,-82.15965903,37.5625829,44.39180508,-82.19870424
325,-5.290372273,49.26718297,-81.65288192,33.45118077,47.7461795,-81.84244142
330,-8.096794283,53.35349866,-80.67745134,28.66919311,51.4310302,-81.13537267
335,-10.92261534,57.19891756,-79.36991896,23.93974764,54.86062606,-80.13374222
340,-13.94545603,61.0412338,-77.57318788,18.62492189,58.41244422,-78.82370132
345,-17.2780925,64.99785389,-75.19464482,12.81156288,61.92463218,-77.06113785
350,-20.89747167,68.96152496,-72.05256933,6.08724228,65.69796872,-74.73600493
355,-24.55664999,72.5912216,-68.250997,-1.273708014,69.57102044,-71.53262676
360,-28.04758437,75.66380103,-64.34385187,-8.541647449,73.24929316,-67.43224501
365,-31.41276609,78.23653593,-59.74341852,-16.456955,76.73979882,-62.5114119
370,-34.31977037,80.08234825,-55.17910251,-23.51506509,79.25612524,-57.50581358
375,-36.91816836,81.33790936,-50.48367376,-29.88063402,80.93809147,-52.40415737
380,-39.04802523,82.03571877,-46.23467877,-35.32424715,81.91375417,-47.26617138
385,-40.85396674,82.30766006,-42.17236668,-39.88482365,82.24314716,-42.35229063
390,-42.42165777,82.18227504,-38.0187302,-43.9212982,82.1962487,-38.47306108
395,-43.64019401,81.7958566,-34.36088869,-47.09805038,81.93302944,-35.51187732
400,-44.69464897,81.11956096,-30.47165825,-50.24196634,81.42192043,-32.03760801
405,-45.58791429,80.28668759,-27.07555153,-52.69767789,80.82722243,-29.22501206
410,-46.2724404,79.37886222,-23.97342332,-54.83529033,80.14140801,-26.39306469
415,-46.78816922,78.35277236,-20.87118864,-56.92642585,79.37231862,-23.76209456
420,-47.25176851,77.10517659,-17.56984439,-58.96253417,78.5851953,-21.44386379
425,-47.57901913,75.91586984,-14.77266527,-60.58359826,77.77907362,-19.4292875
430,-47.81581017,74.5498138,-11.47449168,-62.63623811,76.67032443,-16.25967649
