tick,0,1,2,3,4,5
0,20.89747167217699,-68.96152496079256,72.05256932504638,-6.087242280124766,-65.69796872456918,74.73600492634668
5,24.55664999399625,-72.59122160425622,68.25099700110931,1.273708013550955,-69.5710204377469,71.53262675795943
10,28.047584369120763,-75.66380102686918,64.343851872238,8.541647449435327,-73.24929315820378,67.43224501441154
15,31.41276608522652,-78.23653593044591,59.74341851521665,16.456954995505598,-76.73979881560018,62.51141189537343
20,34.31977036899596,-80.08234825024832,55.17910250531998,23.51506508771037,-79.25612523909112,57.50581357684608
25,36.918168359677075,-81.33790936474543,50.48367376428744,29.88063402398211,-80.93809147099441,52.40415737213928
30,39.04802523186734,-82.03571877265885,46.2346787721385,35.32424714717239,-81.9137541686195,47.266171384012544
35,40.85396674314427,-82.30766005823287,42.172366680114855,39.88482364560561,-82.24314715964421,42.352290632628154
40,42.421657767852174,-82.1822750413206,38.018730196634344,43.92129820053695,-82.19624869649212,38.47306108197772
45,43.64019401082222,-81.79585659869824,34.36088868927039,47.09805037739743,-81.93302943739634,35.511877317936865
50,44.69464896913236,-81.1195609562402,30.47165825183873,50.24196634303661,-81.42192043086135,32.03760801169198
55,45.58791429064131,-80.28668758767853,27.075551532689055,52.6976778914086,-80.82722243273409,29.22501205751899
60,46.27244039869887,-79.37886222264721,23.973423324344118,54.83529032981969,-80.14140801475463,26.39306468607864
65,46.7881692188731,-78.35277236290283,20.8711886410178,56.926425851378724,-79.3723186241688,23.76209455512769
70,47.251768508449246,-77.10517658562526,17.569844394575036,58.96253416663281,-78.58519529798966,21.443863790643793
75,47.57901912882398,-75.91586983550127,14.77266527228658,60.583598263790996,-77.77907361541246,19.42928750269325
80,47.8158101694897,-74.54981380179521,11.474491682895238,62.63623811045433,-76.67032442828463,16.259676492824404
85,48.01012986128527,-72.94896581546952,7.866550667407104,64.77333855684621,-75.28997692465731,12.96148504135516
90,48.07899504004628,-71.6254837094222,5.304655362956648,66.07006059294136,-74.42344782862159,11.163828938375868
95,48.10166094139318,-69.96115648778739,1.712607474493712,68.17867423995145,-72.65199739696861,7.414956826377175
100,48.04441471362115,-68.4365296948965,-1.0432597708767268,69.51522992585484,-71.5841475317248,5.094007512939257
105,47.929683249001066,-66.84867503236764,-4.0776689158971,71.09720432376608,-69.89235291818113,1.637257656279278
110,47.75512631308327,-65.25262118329304,-7.087082205477785,72.61793345789033,-68.21925712086326,-1.3340028517463374
115,47.53177766436394,-63.57738086378901,-10.038087139025368,73.98647511099117,-66.51068387741901,-4.716193519577658
120,47.254142121934954,-61.862172295843564,-13.103297278674464,75.39059229098326,-64.51797731556502,-8.440943839104282
125,46.9281281271153,-60.06169749983557,-15.833297767795369,76.42525885657167,-62.93315179511241,-11.249870271704307
130,46.551535009673366,-58.35531182546141,-18.851981187421266,77.69679129435339,-60.75357831707277,-14.67763998879604
135,46.1278982400617,-56.511901645614955,-21.57307068489258,78.62317399029271,-58.87266684222455,-17.76371761919634
140,45.660224400270295,-54.93175499835132,-23.622096451857978,79.22929606038255,-57.57716085158224,-19.678529381512273
145,45.14170455191911,-52.89319111320355,-26.76234627030217,80.188445453057,-54.85487554025346,-23.769974911351778
150,44.58116236105769,-50.95111251075454,-29.46746368232159,80.87404082726529,-52.503027891338604,-27.459686406631608
155,43.99535118296495,-49.35182068260917,-31.528366457775427,81.32205769483309,-50.56697383505427,-29.77982244714336
160,43.33787872861673,-47.24624798776358,-33.993934704553205,81.72483368871139,-48.6463702586428,-32.28586837970934
165,42.648859564389205,-45.27699529262813,-36.43139854683279,82.03896423589468,-46.20027506270879,-35.45725254519756
